Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Switzerland,28268,205,1509,31,19900,6859,386,3266,174,227554,26293,Europe,CHE,60.91083145,7.48,5.0,78816.2,19.5,18.62321656,13.0,11.0,7.0,16.0,4.0
Tanzania,284,30,10,0,11,263,7,5,0,0,0,Africa,TZA,45.38531345,3.2310000000000003,60.0,957.1,8.4,2.601299178,131.0,78.0,34.0,49.0,118.0
Thailand,2826,15,49,1,2352,425,61,40,1,142589,2043,Asia,THA,63.89651143,6.007999999999999,30.0,6361.6,10.0,11.90089314,53.0,18.0,131.0,10.0,58.0
Tunisia,909,8,38,0,190,681,32,77,3,18861,1596,Africa,TUN,74.39224449,4.461,68.0,4402.0,26.9,8.315679079,121.0,143.0,101.0,144.0,67.0
Turkey,98674,3083,2376,117,16477,79821,1814,1170,28,750944,8904,Asia,TUR,47.93865099,5.372999999999999,43.0,15026.7,32.1,8.48321294,61.0,140.0,50.0,98.0,69.0
Uganda,63,2,0,0,45,18,0,1,0,14761,323,Africa,UGA,45.46849405,4.189,39.070422535211264,709.7,5.3,1.94098692,114.0,99.0,95.0,74.0,127.0
Ukraine,6592,467,174,13,424,5994,45,151,4,67520,1544,Europe,UKR,78.09739851,4.332,59.0,3110.2,24.1,16.43468644,56.0,141.0,143.0,66.0,87.0
United Arab Emirates,8238,483,52,6,1546,6640,1,833,5,790000,79875,Asia,ARE,38.46285672,6.825,26.0,40782.4,31.7,1.085000985,72.0,4.0,73.62616822429906,15.0,60.0
United Kingdom,133495,4451,18100,763,774,115051,1559,1966,267,559935,8248,Europe,GBR,34.17129884,7.053999999999999,12.0,42986.0,27.8,18.39586567,9.0,63.0,15.0,4.0,24.0
United States,845822,27078,47479,2161,83917,714426,14014,2555,143,4317994,13045,North America,USA,40.44306774,6.892,17.0,54541.7,36.2,15.80765406,37.0,62.0,42.0,12.0,39.0
Uruguay,543,0,12,0,324,207,10,156,3,13923,4008,South America,URY,61.68562586,6.292999999999999,45.0,14617.5,27.9,14.81451953,35.0,30.0,33.0,80.0,35.0
Uzbekistan,1716,38,7,1,450,1259,8,51,0,150000,4482,Asia,UZB,39.81862086,6.1739999999999995,39.070422535211264,2026.5,16.6,4.419137878,11.0,1.0,18.0,29.0,83.0
Venezuela,288,0,10,0,122,156,4,10,0,347236,12211,South America,VEN,60.41541608,4.707,39.070422535211264,16054.49,25.6,9.8300171986422,49.0,145.0,110.0,139.0,71.0
Vietnam,268,0,0,0,223,45,8,3,0,206253,2119,Asia,VNM,64.02554262,5.175,35.0,1964.5,2.1,7.274978298,64.0,23.0,86.0,97.0,49.0
Zambia,74,4,3,0,35,36,1,4,0,2586,141,Africa,ZMB,28.74436313,4.107,39.070422535211264,1672.3,8.1,2.099678026,115.0,73.0,69.0,53.0,131.0
Zimbabwe,28,0,3,0,2,23,0,2,0,4159,280,Africa,ZWE,73.81235179,3.6630000000000003,39.070422535211264,1322.3,15.5,2.939523653,110.0,96.0,63.0,141.0,129.0
Syria,42,0,3,0,6,33,0,2,0,1000,0,Asia,SYR,43.04679988,3.4619999999999997,39.070422535211264,17906.915398230085,27.8,9.8300171986422,154.0,153.0,38.0,69.0,128.0
South Sudan,4,0,0,0,0,4,0,0,0,0,0,Africa,SSD,50.85396383,2.853,39.070422535211264,17906.915398230085,6.6,3.39848288,148.0,154.0,61.0,85.0,143.0
